DESAPARECIDOS E LOCALIZADOS POR FAIXA ETÁRIA - JAN/DEZ 2017.;;;;
;;;;
Tabela 2:Pessoas Desaparecidas e localizadas, por faixa etária, no período de janeiro a dezembro de 2017.;;;;
FAIXA ETÁRIA;RESULTADO ATÉ O DIA 31/03/2018;;;
;AINDA DESAPARECIDOS;%;LOCALIZADOS;%
ATÉ 11 ANOS;4;3%;133;97,08%
DE 12 A 17 ANOS;62;6%;1011;94,22%
DE 18 A 30 ANOS;62;9%;608;90,75%
DE 31 A 50 ANOS;68;11%;543;88,87%
MAIS DE 50 ANOS;31;13%;213;87,30%
NÃO INFORMADO;0;0%;80;100,00%
TOTAL;227;6,50%;2.588;93,50%
Fonte: Banco Millenium - COOAFESP/SGI/SSPDF;;;;
